angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT,av_engine_speeds_out_pos_pow,av_missing_powers_pos_pow,av_neg_motive_powers,av_pos_accelerations,av_pos_engine_powers_out,av_pos_motive_powers,av_vel_pos_mov_pow,co2_emission,max_power_required,specific_fuel_consumption,sufficient_power,time_percentage_neg_mov_pow,time_percentage_pos_mov_pow,willans_a,willans_b,willans_efficiency
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,23,1042.579248,0,-4.992222157,0.433876812,2.959308763,3.885892543,26.43636364,148.1225989,12.1292711,316.5484639,1,0.473684211,0.289473684,193.802979,363.2417889,0.260840967
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,23,1003.141309,0,-5.511928896,0.433876812,1.790021698,3.769848596,23.93333333,102.5453565,9.708465502,387.3761146,1,0.578947368,0.184210526,192.0912463,349.5641516,0.213148938
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,23,1096.602012,0,-4.496660551,0.433876812,3.798680369,4.715741979,25.71960784,189.8796057,14.26802063,294.981057,1,0.315789474,0.447368421,194.4001901,382.0745647,0.279912236
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,53.49883304,514.224891,0,-3.548459757,0.555839002,1.503239342,3.439832379,15.06388889,165.2385372,15.1900686,324.7755008,1,0.341584158,0.178217822,203.5464083,182.2363413,0.254233485
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,43.45373078,433.0011737,0,-4.299334565,0.555839002,0.962636265,3.263594083,13.88965517,121.7054087,12.38491397,363.8408208,1,0.376237624,0.143564356,203.5499297,154.3018247,0.226936623
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,63.74834959,595.6940749,0,-2.601154812,0.555839002,1.804995633,3.604138045,15.30961538,199.0130636,17.80354002,318.4971639,1,0.262376238,0.257425743,202.0927338,210.1094879,0.259245032
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,23,892.0057564,0,-4.762988986,0.469684829,2.689805824,4.259762282,25.74709677,124.3534081,17.16434276,312.2854634,1,0.483870968,0.263157895,196.5590837,311.2814902,0.2644017
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,23,785.6395253,0,-5.735667414,0.469684829,1.808284008,3.785643675,24.54741379,85.23607669,13.25091876,348.7527046,1,0.55008489,0.196943973,196.7327374,274.8952755,0.236754601
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,23,953.0862434,0,-3.820562738,0.469684829,3.526865274,4.861548527,26.25228216,162.7175893,21.48066571,291.3496994,1,0.337860781,0.409168081,197.1360045,332.2790087,0.283401038
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62583026,32.06488593,1177.912336,0,-5.203877415,0.446902655,3.678923952,4.746450398,29.95465116,107.3589277,17.16434276,304.1520031,1,0.597785978,0.317343173,192.5256853,410.6647342,0.27147218
